"GeneID","Module"
"ENSG00000090621","blue"
"ENSG00000090686","turquoise"
"ENSG00000090857","turquoise"
"ENSG00000090863","turquoise"
"ENSG00000090905","blue"
"ENSG00000090989","blue"
"ENSG00000091039","turquoise"
"ENSG00000091157","turquoise"
"ENSG00000091164","turquoise"
"ENSG00000091317","turquoise"
"ENSG00000091409","turquoise"
"ENSG00000091490","blue"
"ENSG00000091527","turquoise"
"ENSG00000091542","yellow"
"ENSG00000091592","black"
"ENSG00000091640","yellow"
"ENSG00000092010","green"
"ENSG00000092020","yellow"
"ENSG00000092108","blue"
"ENSG00000092140","green"
"ENSG00000092148","turquoise"
"ENSG00000092199","blue"
"ENSG00000092201","green"
"ENSG00000092203","brown"
"ENSG00000092330","blue"
"ENSG00000092439","brown"
"ENSG00000092531","green"
"ENSG00000092820","turquoise"
"ENSG00000092841","turquoise"
"ENSG00000092847","blue"
"ENSG00000092871","pink"
"ENSG00000092929","yellow"
"ENSG00000092931","yellow"
"ENSG00000093000","pink"
"ENSG00000093072","brown"
"ENSG00000093134","turquoise"
"ENSG00000093167","green"
"ENSG00000094916","turquoise"
"ENSG00000094975","turquoise"
"ENSG00000095002","blue"
"ENSG00000095015","blue"
"ENSG00000095059","green"
"ENSG00000095303","brown"
"ENSG00000095370","brown"
"ENSG00000095564","turquoise"
"ENSG00000095787","yellow"
"ENSG00000095906","yellow"
"ENSG00000095951","purple"
"ENSG00000096060","turquoise"
"ENSG00000096063","turquoise"
"ENSG00000096384","brown"
"ENSG00000096401","turquoise"
"ENSG00000096433","pink"
"ENSG00000096746","turquoise"
"ENSG00000096968","turquoise"
"ENSG00000097033","pink"
"ENSG00000099204","black"
"ENSG00000099246","blue"
"ENSG00000099308","green"
"ENSG00000099331","turquoise"
"ENSG00000099341","turquoise"
"ENSG00000099622","yellow"
"ENSG00000099624","magenta"
"ENSG00000099725","blue"
"ENSG00000099783","turquoise"
"ENSG00000099785","red"
"ENSG00000099795","blue"
"ENSG00000099800","blue"
"ENSG00000099804","red"
"ENSG00000099817","blue"
"ENSG00000099849","blue"
"ENSG00000099875","blue"
"ENSG00000099917","turquoise"
"ENSG00000099940","blue"
"ENSG00000099942","pink"
"ENSG00000099968","blue"
"ENSG00000099977","blue"
"ENSG00000099991","blue"
"ENSG00000099995","brown"
"ENSG00000100023","brown"
"ENSG00000100030","pink"
"ENSG00000100034","magenta"
"ENSG00000100055","blue"
"ENSG00000100060","green"
